<mz3d>
// water 
A1,0,0:side(A1,31px,54px,31px,3px|alpha:1),depth(0.15),slant(.1)
A1,4,0:side(A1,31px,54px,31px,3px|alpha:1),depth(0.15),slant(.1)
A1,0,1:side(A1,31px,54px,31px,3px|alpha:1),depth(0.15),slant(.1)


//Wall Buliding
B,7,23: model(Poly_World_Map_Wall_Building_01.obj),scale(2,1.5)
B,5,24: model(Poly_World_Map_Wall_Building_01.obj),scale(3,2)

//Walls
B,0,21: model(Poly_World_Map_Wall_01_Left_Right_Small_Damaged.obj)
B,1,21: model(Poly_World_Map_Wall_01_Left_Right_Damaged.obj)
B,2,21: model(Poly_World_Map_Wall_01_Left_Right_Damaged.obj),rot(180)
B,1,24: model(Poly_World_Map_Wall_01.obj)
B,1,23: model(Poly_World_Map_Wall_01.obj)
B,1,22: model(Poly_World_Map_Wall_01_Entrance.obj),pass(*)

B,0,24: model(Poly_World_Map_Wall_02.obj)
B,2,24: model(Poly_World_Map_Wall_03.obj)

B,6,21: model(Poly_World_Map_Wall_04.obj),rot(180)
B,7,21: model(Poly_World_Map_Wall_04.obj),rot(90)
B,6,22: model(Poly_World_Map_Wall_04.obj),rot(270)
B,7,22: model(Poly_World_Map_Wall_04.obj)

B,2,22: model(Poly_World_Map_Wall_02.obj),rot(180)
B,0,22: model(Poly_World_Map_Wall_03.obj),rot(180)

B,3,23: model(Poly_World_Map_Wall_02.obj),rot(90)
B,4,23: model(Poly_World_Map_Wall_03.obj),rot(270)

B,3,24: model(Poly_World_Map_Wall_03.obj),rot(90)
B,4,24: model(Poly_World_Map_Wall_02.obj),rot(270)

B,2,23: model(Poly_World_Map_Wall_01.obj),rot(90)
B,0,23: model(Poly_World_Map_Wall_01.obj),rot(270)

B,3,22: model(Poly_World_Map_Wall_01_Left_End.obj)
B,3,21: model(Poly_World_Map_Wall_01_Right_End.obj)

B,5,21: model(Poly_World_Map_Wall_01_Right_End.obj),rot(270)
B,4,21: model(Poly_World_Map_Wall_01_Left_End.obj),rot(90)

B,5,22: model(Poly_World_Map_Wall_01_Left_End.obj),rot(270)
B,4,22: model(Poly_World_Map_Wall_01_Right_End.obj),rot(90)

//Lookout Post 
B,7,24: model(Poly_World_Map_Outlook_Post_01.obj)

//Sign
B,1,0: model(Poly_World_Map_Sign_01.obj)

//Rainbow
B,7,1: model(Poly_World_Map_Rainbow_01.obj)
B,7,0: model(Poly_World_Map_Rainbow_02.obj)

//Crater
B,0,25: model(Poly_World_Map_Crater_01.obj)

//Trail
B,1,25: model(Poly_World_Map_Trail_01.obj)

//Pond
